date,day_of_week,policy_id,customer_id,age,gender,marital_status,state,vehicle_type,vehicle_year,credit_score,premium_amount,policy_status,cancellation_reason,customer_lifetime_value,customer_tenure_days,churn_risk_score,risk_score,num_claims_today,avg_claim_amount,total_claim_amount
2022-01-01,Saturday,100000,50000,18,Other,Married,MS,Motorcycle,2009,708,1688.64,Active,,1688.64,0,0.2,0.65,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100001,50001,20,M,Divorced,SC,Van,2018,716,1382.87,Active,,1382.87,0,0.2,0.65,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100002,50002,42,F,Married,FL,Truck,2019,611,1161.01,Active,,1161.01,0,0.2,0.55,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100003,50003,46,Other,Divorced,GA,Sedan,2014,712,782.51,Active,,782.51,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100004,50004,38,F,Single,FL,Sedan,2007,615,1364.37,Active,,1364.37,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100005,50005,41,F,Single,AL,SUV,2020,723,1547.98,Active,,1547.98,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100006,50006,45,Other,Married,NC,Truck,2018,652,1235.98,Active,,1235.98,0,0.2,0.55,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100007,50007,42,Other,Married,GA,Motorcycle,2013,651,825.4,Active,,825.4,0,0.2,0.55,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100008,50008,43,F,Married,MS,SUV,2015,684,1397.74,Active,,1397.74,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100009,50009,32,Other,Single,TN,Van,2000,685,970.68,Active,,970.68,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100010,50010,48,F,Single,TN,Sedan,2017,627,1491.19,Active,,1491.19,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100011,50011,42,Other,Divorced,AL,SUV,2015,653,1078.75,Active,,1078.75,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100012,50012,44,M,Single,NC,Truck,2008,698,1226.99,Active,,1226.99,0,0.2,0.6,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100013,50013,18,F,Single,SC,Truck,2018,663,1966.74,Active,,1966.74,0,0.2,0.65,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100014,50014,58,F,Married,FL,Sedan,2001,728,1161.94,Active,,1161.94,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100015,50015,18,F,Married,NC,Truck,2009,593,1764.28,Active,,1764.28,0,0.35,0.75,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100016,50016,65,Other,Married,AL,Motorcycle,2011,655,1357.11,Active,,1357.11,0,0.2,0.55,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100017,50017,20,Other,Single,TN,SUV,2009,679,1252.62,Active,,1252.62,0,0.2,0.6,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100018,50018,41,M,Single,TN,Motorcycle,2002,792,985.27,Active,,985.27,0,0.2,0.6,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100019,50019,23,F,Married,MS,SUV,2017,724,1522.82,Cancelled,Other,1522.82,0,0.2,0.6,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100020,50020,44,F,Single,AL,Sedan,2007,757,1471.59,Active,,1471.59,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100021,50021,31,Other,Single,SC,Motorcycle,2017,679,883.06,Active,,883.06,0,0.2,0.55,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100022,50022,42,M,Married,AL,Van,2000,611,1290.56,Active,,1290.56,0,0.2,0.55,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100023,50023,21,M,Single,TN,Truck,2007,618,1173.83,Active,,1173.83,0,0.2,0.7,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100024,50024,45,Other,Single,AL,Truck,2000,674,934.76,Active,,934.76,0,0.2,0.55,17,1978.0545497668074,33626.92734603573
2022-01-01,Saturday,100025,50025,29,Other,Married,MS,Van,2007,668,1073.17,Active,,1073.17,0,0.2,0.5,17,1978.0545497668074,33626.92734603573
